0.0,25,4.0,7,4.0,7.0,3.0,2.0,1.0,0.0,0.0,40,39.0
0.0,38,4.0,9,2.0,5.0,0.0,4.0,1.0,0.0,0.0,50,39.0
1.0,28,2.0,12,2.0,11.0,0.0,4.0,1.0,0.0,0.0,40,39.0
1.0,44,4.0,10,2.0,7.0,0.0,2.0,1.0,3.885869860903906,0.0,40,39.0
0.0,18,0.0,10,4.0,0.0,3.0,4.0,0.0,0.0,0.0,30,39.0
0.0,34,4.0,6,4.0,8.0,1.0,4.0,1.0,0.0,0.0,30,39.0
0.0,29,0.0,9,4.0,0.0,4.0,2.0,1.0,0.0,0.0,40,39.0
1.0,63,6.0,15,2.0,10.0,0.0,4.0,1.0,3.4919217125861506,0.0,32,39.0
0.0,24,4.0,10,4.0,8.0,4.0,4.0,0.0,0.0,0.0,40,39.0
0.0,55,4.0,4,2.0,3.0,0.0,4.0,1.0,0.0,0.0,10,39.0
1.0,65,4.0,9,2.0,7.0,0.0,4.0,1.0,3.8074673756842774,0.0,40,39.0
0.0,36,1.0,13,2.0,1.0,0.0,4.0,1.0,0.0,0.0,40,39.0
0.0,26,4.0,9,4.0,1.0,1.0,4.0,0.0,0.0,0.0,39,39.0
0.0,58,0.0,9,2.0,0.0,0.0,4.0,1.0,0.0,0.0,35,39.0
1.0,48,4.0,9,2.0,7.0,0.0,4.0,1.0,3.4919217125861506,0.0,48,39.0
1.0,43,4.0,14,2.0,4.0,0.0,4.0,1.0,0.0,0.0,50,39.0
0.0,20,7.0,10,4.0,8.0,3.0,4.0,1.0,0.0,0.0,25,39.0
0.0,43,4.0,9,2.0,1.0,5.0,4.0,0.0,0.0,0.0,30,39.0
0.0,37,4.0,9,6.0,7.0,4.0,4.0,0.0,0.0,0.0,20,39.0
1.0,40,4.0,16,2.0,10.0,0.0,1.0,1.0,0.0,0.0,45,0.0
1.0,34,4.0,13,2.0,13.0,0.0,4.0,1.0,0.0,0.0,47,39.0
0.0,34,4.0,10,4.0,8.0,3.0,2.0,0.0,0.0,0.0,35,39.0
0.0,72,0.0,4,0.0,0.0,1.0,4.0,0.0,0.0,0.0,6,39.0
0.0,25,4.0,13,4.0,10.0,1.0,4.0,1.0,0.0,0.0,43,29.0
0.0,25,4.0,13,2.0,10.0,0.0,4.0,1.0,0.0,0.0,40,39.0
1.0,45,6.0,9,2.0,3.0,0.0,4.0,1.0,3.8632633636504807,0.0,90,39.0
0.0,22,4.0,9,4.0,1.0,3.0,4.0,1.0,0.0,0.0,20,39.0
0.0,23,4.0,9,5.0,7.0,4.0,2.0,1.0,0.0,0.0,54,39.0
0.0,54,4.0,9,2.0,3.0,0.0,4.0,1.0,0.0,0.0,35,39.0
0.0,32,6.0,10,4.0,10.0,1.0,4.0,1.0,0.0,0.0,60,39.0
1.0,46,7.0,10,2.0,4.0,0.0,2.0,1.0,3.885869860903906,0.0,38,39.0
0.0,56,6.0,7,6.0,8.0,4.0,4.0,0.0,0.0,0.0,50,39.0
0.0,24,6.0,13,4.0,12.0,1.0,4.0,1.0,0.0,0.0,50,39.0
0.0,23,2.0,10,2.0,11.0,0.0,4.0,1.0,0.0,0.0,40,39.0
0.0,26,4.0,9,0.0,4.0,4.0,4.0,0.0,0.0,0.0,40,39.0
0.0,65,0.0,9,2.0,0.0,0.0,4.0,1.0,0.0,0.0,40,39.0
